fitur_aktif,jumlah_fitur,MAE,MAPE,R2
"ecg_sf, ecg_mobility, ecg_skewness, ecg_complexity, ecg_cm10",5,5.54422360209848,4.52175523100256,0.7837716442977471
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_complexity, ecg_cm10",6,5.713737453591617,4.658211313200444,0.7770564900365446
"ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",6,5.723460876513332,4.65681801382615,0.7754879982108432
"ecg_sf, ecg_mobility, ecg_skewness, ecg_cm10",4,5.724251183212274,4.6787736923944845,0.7712370802368039
"ecg_sf, ecg_skewness, ecg_complexity, ecg_cm10",4,5.886987425343027,4.77813867262347,0.7639797121449949
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",7,5.979303305891859,4.863289549898809,0.761970112431349
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_cm10",5,5.969433919289757,4.869576101335073,0.7617274955384259
"ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_cm10",5,5.9314117070218035,4.838751698835581,0.7616676089452767
"ecg_sf, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",5,6.10037680064569,4.937541760646569,0.7556659999996879
"ecg_mean, ecg_sf, ecg_skewness, ecg_complexity, ecg_cm10",5,6.145090713478615,4.981720963911999,0.751733896498769
"ecg_mobility, ecg_skewness, ecg_complexity, ecg_cm10",4,5.939420005649716,4.831628709525429,0.750560444015677
"ecg_sf, ecg_mobility, ecg_skewness, ecg_complexity",4,5.923939071832127,4.830429302012459,0.7496550207115837
"ecg_sf, ecg_mobility, ecg_complexity, ecg_cm10",4,5.880041927360784,4.787233898956074,0.7494836025545657
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_cm10",6,6.2998458498789445,5.126528026792603,0.7452836994697248
"ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",5,6.1787891146085565,5.020856759479564,0.740100788986199
"ecg_mean, ecg_mobility, ecg_skewness, ecg_complexity, ecg_cm10",5,6.1949901105730385,5.036533208189446,0.7398335862060799
"ecg_mean, ecg_sf, ecg_mobility, ecg_complexity, ecg_cm10",5,6.114902945117038,4.974236394422206,0.7387075152103246
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_complexity",5,6.181836008878132,5.035834491114581,0.73860148474689
"ecg_sf, ecg_mobility, ecg_cv, ecg_complexity, ecg_cm10",5,6.13356556577886,4.978182965530591,0.7383261191974575
"ecg_mean, ecg_sf, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",6,6.482872594027447,5.245611774461452,0.7370386847967088
"ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity",5,6.194589435835357,5.049174532732663,0.7361616805556355
"ecg_mean, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",6,6.532659525423728,5.296585949118594,0.7228208142826915
"ecg_mean, ecg_sf, ecg_mobility, ecg_cv, ecg_complexity, ecg_cm10",6,6.42064121872478,5.212624168779676,0.7223845528181414
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity",6,6.485658753833741,5.2667705445533,0.7221214364108237
