timestamp_ms,sample_index,raw_ecg_mv
9.020,126030,4.993918
9.079,126031,4.409516
15.245,126032,4.475219
15.288,126033,4.380668
30.327,126034,4.623141
42.086,126035,4.495990
42.161,126036,4.562703
56.953,126037,4.715312
57.032,126038,4.771278
71.141,126039,4.982451
71.195,126040,5.248291
84.590,126041,4.841092
97.913,126042,4.725842
97.965,126043,4.932254
111.872,126044,5.312191
111.921,126045,5.222399
120.961,126046,5.410276
143.912,126047,5.571324
143.967,126048,5.682030
149.947,126049,5.835289
149.983,126050,5.772759
162.908,126051,5.711889
176.904,126052,5.729631
176.955,126053,5.263364
190.933,126054,5.107005
190.970,126055,4.947039
199.884,126056,4.701681
222.925,126057,4.731612
222.996,126058,4.313162
230.901,126059,4.479330
230.946,126060,4.366676
243.023,126061,4.359320
257.942,126062,3.702869
257.992,126063,3.024997
295.027,126064,4.441466
295.076,126065,4.800271
295.108,126066,3.685343
295.138,126067,1.713826
295.169,126068,1.855185
310.196,126069,2.830485
310.244,126070,2.203027
334.889,126071,3.900770
334.939,126072,4.167693
334.973,126073,2.966795
349.969,126074,3.331947
350.011,126075,2.776250
368.744,126076,2.658259
368.788,126077,2.839645
376.824,126078,2.906357
389.876,126079,3.657360
389.925,126080,2.009309
413.409,126081,1.918219
413.517,126082,2.931961
419.844,126083,3.272735
437.850,126084,4.185218
437.893,126085,4.177645
445.248,126086,4.456684
445.301,126087,4.668289
477.860,126088,4.562342
482.396,126089,4.347492
482.468,126090,2.663740
486.009,126091,1.786164
486.073,126092,1.975195
497.821,126093,1.694137
511.945,126094,1.604850
511.980,126095,1.555880
525.886,126096,1.529123
525.946,126097,1.639757
539.825,126098,1.560784
539.863,126099,1.488807
552.916,126100,1.571458
568.220,126101,1.549533
568.264,126102,1.274245
581.998,126103,0.692656
582.068,126104,4.006717
591.089,126105,7.634363
612.850,126106,9.119347
612.906,126107,5.171986
620.820,126108,1.161952
620.862,126109,3.365267
629.843,126110,2.726270
654.864,126111,2.759806
654.911,126112,2.216370
660.814,126113,1.896655
660.853,126114,2.528079
670.635,126115,2.020704
692.871,126116,1.938341
692.920,126117,2.807623
704.820,126118,2.797309
704.858,126119,3.207321
754.122,126120,3.914113
754.226,126121,3.614880
754.277,126122,3.912598
754.314,126123,4.039677
754.375,126124,4.263614
767.421,126125,4.408795
767.467,126126,4.468728
767.506,126127,4.616361
789.986,126128,4.727429
790.041,126129,4.861214
794.886,126130,4.961175
794.936,126131,5.072170
809.958,126132,5.231559
821.885,126133,5.187060
821.937,126134,5.251753
835.886,126135,5.197589
835.929,126136,4.892299
844.806,126137,4.898501
870.959,126138,4.261018
871.008,126139,2.790169
876.012,126140,2.047100
876.057,126141,1.787102
884.914,126142,1.815590
909.107,126143,1.592590
909.145,126144,1.584079
918.801,126145,1.611846
918.843,126146,1.587109
929.321,126147,1.686276
941.953,126148,1.597206
