fitur_aktif,jumlah_fitur,MAE,MAPE,R2
"ecg_sf, ecg_mobility, ecg_skewness, ecg_complexity, ecg_cm10",5,5.468352241949586,4.24362859328459,0.8810676542080469
"ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",6,5.7185549582904684,4.427447990981551,0.8737233550840955
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_complexity, ecg_cm10",6,5.724364310570992,4.439637308589024,0.8736697625419368
"ecg_sf, ecg_mobility, ecg_skewness, ecg_complexity",4,5.721396863177289,4.4511323538056935,0.8700788876137193
"ecg_mobility, ecg_skewness, ecg_complexity, ecg_cm10",4,5.747524411359747,4.4642954610006225,0.8670379487823763
"ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity",5,6.053882827914947,4.705461110630127,0.8604953993782893
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_complexity",5,6.038949885823288,4.694536766084352,0.8604102978444483
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",7,6.154406268222134,4.767179505837691,0.8600784926834834
"ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",5,6.04079045964507,4.681628424101502,0.8584497428341957
"ecg_mean, ecg_mobility, ecg_skewness, ecg_complexity, ecg_cm10",5,6.044088459929217,4.688105631273549,0.8567952416740687
"ecg_sf, ecg_mobility, ecg_skewness, ecg_cm10",4,6.090390017724868,4.724767627863001,0.8510352089534694
"ecg_sf, ecg_mobility, ecg_complexity, ecg_cm10",4,6.243232721084413,4.845569535467926,0.848325559367609
"ecg_sf, ecg_skewness, ecg_complexity, ecg_cm10",4,6.214905018255195,4.797192326176071,0.8448501287841024
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_cm10",5,6.362174714317563,4.929715854213993,0.8427735887609146
"ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_cm10",5,6.435195887864985,4.982118241943023,0.841480910499777
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity",6,6.645249689883412,5.16843899033775,0.8406141788293201
"ecg_mean, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",6,6.596428648816877,5.119221727200128,0.8396944901578407
"ecg_mean, ecg_sf, ecg_mobility, ecg_complexity, ecg_cm10",5,6.585363769619588,5.108912763295446,0.837451894789522
"ecg_mean, ecg_sf, ecg_skewness, ecg_complexity, ecg_cm10",5,6.509739044162756,5.032575048171845,0.8371608245042883
"ecg_sf, ecg_mobility, ecg_cv, ecg_complexity, ecg_cm10",5,6.619472153866599,5.1314373110936495,0.8370320884232758
"ecg_sf, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",5,6.51998505825128,5.032200665808411,0.8359792242282273
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_cm10",6,6.961394647594562,5.393273031871086,0.8245066757308539
"ecg_mean, ecg_sf, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",6,7.019972740149184,5.427445491100831,0.8210866800176244
"ecg_mean, ecg_sf, ecg_mobility, ecg_cv, ecg_complexity, ecg_cm10",6,7.155132897042185,5.55644703297322,0.8187845016359501
"ecg_mobility, ecg_skewness, ecg_cv, ecg_cm10",4,7.068541487675154,5.470177259660424,0.8139217692088612
"ecg_mean, ecg_mobility, ecg_skewness, ecg_cm10",4,7.0503010090939275,5.458577286422006,0.810422295323676
"ecg_mobility, ecg_skewness, ecg_cm10",3,7.261650961681163,5.6491708005281485,0.8099565886775705
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness",4,7.109361596983391,5.531431197494455,0.8095812860204027
"ecg_sf, ecg_mobility, ecg_skewness",3,7.142962631181407,5.565707909179963,0.809390536917056
