fitur_aktif,jumlah_fitur,MAE,MAPE,R2
"ecg_sf, ecg_mobility, ecg_skewness, ecg_complexity",4,7.541968660344372,5.894261752807259,0.7124305884029447
"ecg_sf, ecg_mobility, ecg_skewness, ecg_complexity, ecg_cm10",5,7.624939255579792,5.966008815577058,0.7115599035974439
"ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity",5,7.978249857172741,6.244766825191278,0.6959537624679327
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_complexity",5,8.021700699231625,6.279563531931474,0.6939052610530513
"ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",6,8.213173000299626,6.437477447841338,0.6862480495986113
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_complexity, ecg_cm10",6,8.295177462001986,6.503522403018379,0.6824224899478473
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity",6,8.583955114029445,6.729761789943474,0.6686387487849643
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",7,8.888593921319497,6.980278377306445,0.6543749989216581
"ecg_sf, ecg_mobility, ecg_skewness, ecg_cm10",4,9.48397293061123,7.442178479347279,0.5863897678515319
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness",4,9.919441876976697,7.787835184546066,0.5688969253073406
"ecg_sf, ecg_mobility, ecg_skewness, ecg_cv",4,9.940482510759107,7.805588017480789,0.5662401047769186
"ecg_sf, ecg_mobility, ecg_skewness",3,10.011156725274043,7.859794909866731,0.5636148800234007
"ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_cm10",5,10.117003099602671,7.957950906645314,0.5611523094392101
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_cm10",5,10.182811487479825,8.010896380363528,0.5597802744687383
"ecg_sf, ecg_mobility, ecg_complexity, ecg_cm10",4,10.129299678993602,7.95394704906857,0.543356763881836
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_cv",5,10.530580669695592,8.283685234923762,0.5405771266630799
