label,mae,mape,r2,samples
1,7.094401053204342,5.091888717122924,0.7148598823728423,2562
2,7.937682655188042,5.9921824188838695,0.7109852929048954,2207
3,8.84161274210808,7.27121768924318,0.6361621435641405,1869
4,8.059023304226983,6.431881065528325,0.6974116358003742,2497
5,7.103735030519161,5.404626433502009,0.739696557378693,2594
6,6.688444104262152,5.3741072457737005,0.7335184157906665,2525
7,7.204234040058872,5.837348051442222,0.6026423951336178,1181
8,8.398722378780064,6.622283647703085,0.7351986389509404,1940
9,7.495917534761161,6.1535121022894845,0.6505904176473212,2498
10,8.363415910279938,6.12222170054204,0.6805463867957702,2412
11,6.323124635045428,4.973280035907009,0.7654616999442416,2417
12,8.483488025505954,6.950866557386035,0.601036763356013,1993
